name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,107,1000000,3.64s,1.58us,17.00ns,1.59us,203.00ns,1.34us,77.48us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,107,422746,4.72s,6.97us,73.00ns,7.06us,609.00ns,6.50us,239.51us
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,107,1000000,1.09s,219.00ns,2.00ns,225.00ns,91.00ns,210.00ns,40.03us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,102,561844,4.83s,5.21us,85.00ns,5.30us,532.00ns,4.81us,94.38us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,102,1000000,3.19s,1.30us,26.00ns,1.31us,176.00ns,1.17us,40.18us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,102,499486,4.77s,5.79us,212.00ns,5.96us,799.00ns,4.75us,237.22us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,102,1000000,736.50ms,77.00ns,1.00ns,78.00ns,35.00ns,68.00ns,11.05us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,10001,5992,4.51s,495.74us,6.56us,500.63us,46.62us,439.56us,3.13ms
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,10001,24147,4.56s,123.05us,3.32us,124.19us,5.83us,110.68us,363.07us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,10001,5434,4.51s,549.18us,6.45us,552.05us,17.91us,522.68us,793.02us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,10001,1000000,886.14ms,158.00ns,2.00ns,162.00ns,60.00ns,147.00ns,22.33us
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1913704,26,4.61s,117.96ms,868.82us,117.89ms,2.01ms,109.72ms,120.66ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1913704,49,4.61s,60.36ms,443.19us,61.42ms,2.43ms,58.84ms,74.18ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1913704,44,4.61s,70.41ms,826.89us,69.47ms,2.72ms,62.22ms,72.48ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1913704,474,4.56s,6.22ms,69.47us,6.34ms,277.45us,5.69ms,7.17ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,147944,4.61s,17.76us,281.00ns,17.93us,1.00us,15.75us,73.84us
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,89112,4.56s,30.53us,1.30us,31.01us,7.20us,24.40us,359.15us
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,114548,4.56s,22.59us,357.00ns,22.83us,1.33us,20.19us,119.27us
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,71125,4.56s,33.18us,505.00ns,33.52us,1.73us,30.93us,129.07us
curated/08-words/all-english,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,76401,3410,4.51s,887.56us,21.50us,879.73us,44.47us,720.95us,1.55ms
curated/08-words/all-russian,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,123942,443,4.56s,6.75ms,41.86us,6.78ms,101.31us,6.64ms,7.31ms
curated/08-words/long-english,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,76401,30061,4.56s,98.80us,86.00ns,99.75us,2.32us,98.59us,338.21us
curated/08-words/long-russian,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,123942,682,4.56s,4.46ms,89.99us,4.40ms,232.57us,3.67ms,4.89ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,32514634,1,9.16s,4.65s,0.00ns,4.65s,0.00ns,4.65s,4.65s
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,32514634,1,6.51s,3.25s,0.00ns,3.25s,0.00ns,3.25s,3.25s
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,32514634,2,4.86s,1.61s,2.48ms,1.61s,2.48ms,1.61s,1.61s
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,32514634,137,4.56s,21.89ms,94.96us,21.91ms,181.16us,21.56ms,22.86ms
curated/09-aws-keys/quick,grep,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,32514634,3,5.86s,1.16s,3.00ms,1.16s,3.57ms,1.15s,1.16s
curated/09-aws-keys/quick,grep,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,32514634,10,4.66s,305.59ms,468.44us,307.13ms,5.04ms,303.99ms,322.12ms
curated/09-aws-keys/quick,grep,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,32514634,5,5.61s,700.57ms,3.95ms,695.73ms,10.90ms,674.71ms,704.52ms
curated/09-aws-keys/quick,grep,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,32514634,127,4.56s,23.97ms,467.68us,23.73ms,1.90ms,21.68ms,41.53ms
curated/09-aws-keys/compile-full,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,55186,4.56s,45.84us,1.07us,46.42us,3.26us,39.17us,286.34us
curated/09-aws-keys/compile-full,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,27150,4.56s,103.04us,4.02us,105.57us,12.18us,87.57us,346.12us
curated/09-aws-keys/compile-full,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,43299,4.56s,48.71us,1.20us,50.21us,7.14us,41.66us,396.87us
curated/09-aws-keys/compile-full,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,19110,4.56s,114.01us,5.34us,114.36us,8.52us,96.78us,307.07us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,,390450,4.72s,6.10us,177.00ns,6.23us,610.00ns,4.87us,112.43us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,,153758,4.61s,16.74us,541.00ns,17.36us,8.54us,13.27us,388.21us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,,279099,4.67s,8.98us,161.00ns,9.09us,850.00ns,7.49us,189.78us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,115761,4.56s,18.39us,375.00ns,18.64us,1.42us,15.45us,162.11us
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,151522,855,4.51s,3.47ms,35.50us,3.51ms,98.75us,3.38ms,3.93ms
